a	a
khử	kh U
khựng	kh U NG
ki	k i
kia	k ia
kim	k i M
kinh	k U n
kiêm	k i M
kiên	k i NG
kiêng	k i NG
kiêu	k i W
kiếm	k i M
kiến	k i NG
kiếng	k i NG
kiếp	k i P
kiết	k i K
kiếu	k i W
kiềm	k i M
kiều	k i W
kiểm	k i M
kiểng	k i NG
kiểu	k i W
kiệm	k i M
kiện	k i NG
kiệt	k i K
kiệu	k i W
kong	k o NGM
ku	k u
kè	k e
kèm	k e M
kèn	k e NG
kèo	k e W
ké	k e
kém	k e M
kén	k e NG
kéo	k e W
kép	k e P
két	k e K
kê	k E
kênh	k oe n
kêu	k E W
kì	k i
kìa	k ia
kìm	k i M
kình	k U n
kí	k i
kích	k U t
kín	k U n
kính	k U n
kíp	k i P
kông	k o NGM
ký	k i
kĩ	k i
kẹc	k e K
kẹo	k e W
kẹp	k e P
kẹt	k e K
kẻ	k e
kẻng	k e NG
kẻo	k e W
kẽ	k e
kẽm	k e M
kế	k E
kếch	k oe t
kết	k oe t
kề	k E
kềm	k E M
kền	k oe n
kềnh	k oe n
kể	k E
kệ	k E
kệch	k oe t
kệt	k oe t
kỉ	k i
kị	k i
kịch	k U t
kịp	k i P
kớ	k oe
kỳ	k i
kỵ	k i
kỷ	k i
kỹ	k i
la	l a
lai	l ae Y
lam	l ae M
lan	l ae NG
lang	l ae NG
lanh	l ae n
lao	l ae W
lat	l ae K
lau	l ae W
lay	l ae Y
le	l e
lem	l e M
len	l e NG
leo	l e W
li	l i
lia	l ia
lim	l i M
linh	l U n
liu	l i W
liêm	l i M
liên	l i NG
liêng	l i NG
liêu	l i W
liếc	l i K
liếm	l i M
liềm	l i M
liền	l i NG
liều	l i W
liễu	l i W
liện	l i NG
liệng	l i NG
liệt	l i K
liệu	l i W
lo	l o
loa	l w a
loan	l w ae NG
loang	l w ae NG
loay	l w ae Y
lon	l o NG
long	l o NGM
loà	l w a
loài	l w ae Y
loàn	l w ae NG
loá	l w a
loán	l w ae NG
loãng	l w ae NG
loè	l w e
loé	l w e
loét	l w e K
loại	l w ae Y
loạn	l w ae NG
loạt	l w ae K
lu	l u
lui	l u Y
lung	l u NGM
luyến	l w i NG
luyện	l w i NG
luân	l w A NG
luôn	l u NG
luận	l w A NG
luật	l w A K
luốc	l u K
luống	l u NG
luồn	l u NG
luồng	l u NG
luộc	l u K
luỹ	l w i
ly	l i
là	l a
lài	l ae Y
làm	l ae M
làn	l ae NG
làng	l ae NG
lành	l ae n
lào	l ae W
lá	l a
lác	l ae K
lách	l ae t
lái	l ae Y
lán	l ae NG
láng	l ae NG
lánh	l ae n
láo	l ae W
lát	l ae K
láy	l ae Y
lâm	l A M
lân	l A NG
lâu	l A W
lây	l A Y
lãi	l ae Y
lãm	l ae M
lãng	l ae NG
lãnh	l ae n
lão	l ae W
lè	l e
lé	l e
lén	l e NG
léo	l e W
lép	l e P
lét	l e K
lê	l E
lên	l oe n
lênh	l oe n
lêu	l E W
lì	l i
lìa	l ia
lìm	l i M
lìn	l U n
lí	l i
lính	l U n
líp	l i P
lít	l U t
líu	l i W
lò	l o
lòi	l o Y
lòm	l o M
lòn	l o NG
lòng	l o NGM
ló	l o
lóc	l o KP
lóng	l o NGM
lót	l o K
lô	l O
lôi	l O Y
lông	l o NGM
lõ	l o
lõi	l o Y
lõm	l o M
lõng	l o NGM
lù	l u
lùa	l ua
lùi	l u Y
lùm	l U M
lùn	l u NGM
lùng	l u NGM
lú	l u
lúa	l ua
lúc	l u KP
lún	l u NGM
lúng	l u NGM
lý	l i
lăk	l ae K
lăm	l ae M
lăn	l ae NG
lăng	l ae NG
lĩnh	l U n
lũ	l u
lũng	l u NGM
lũy	l u Y
lơ	l oe
lơi	l oe Y
lơn	l oe NG
lư	l U
lưng	l U NG
lưu	l U W
lươn	l U NG
lương	l U NG
lưới	l U Y
lướt	l U K
lười	l U Y
lườm	l U M
lườn	l U NG
lường	l U NG
lưỡi	l U Y
lưỡng	l U NG
lược	l U K
lượm	l U M
lượn	l U NG
lượng	l U NG
lượt	l U K
lạ	l a
lạc	l ae K
lạch	l ae t
lại	l ae Y
lạm	l ae M
lạng	l ae NG
lạnh	l ae n
lạp	l ae P
lạt	l ae K
lạy	l ae Y
lả	l a
lảng	l ae NG
lảo	l ae W
lấm	l A M
lấn	l A NG
lấp	l A P
lấy	l A Y
lầm	l A M
lần	l A NG
lầu	l A W
lầy	l A Y
lẩm	l A M
lẩn	l A NG
lẩu	l A W
lẩy	l A Y
lẫm	l A M
lẫn	l A NG
lẫy	l A Y
lận	l A NG
lập	l A P
lật	l A K
lậu	l A W
lắc	l ae K
lắm	l ae M
lắng	l ae NG
lắp	l ae P
lằn	l ae NG
lẳng	l ae NG
lẵng	l ae NG
lặn	l ae NG
lặng	l ae NG
lặp	l ae P
lặt	l ae K
lẹ	l e
lẹo	l e W
lẻ	l e
lẻn	l e NG
lẽ	l e
lẽo	l e W
lết	l oe t
lề	l E
lềnh	l oe n
lều	l E W
lễ	l E
lệ	l E
lệch	l oe t
lệnh	l oe n
lỉnh	l U n
lị	l i
lịa	l ia
lịch	l U t
lịm	l i M
lọ	l o
lọc	l o KP
lọi	l o Y
lọn	l o NG
lọng	l o NGM
lọt	l o K
lỏi	l o Y
lỏm	l o M
lỏng	l o NGM
lố	l O
lốc	l o KP
lối	l O Y
lốp	l O P
lốt	l O TP
lồ	l O
lồi	l O Y
lồn	l O NM
lồng	l o NGM
lỗ	l O
lỗi	l O Y
lộ	l O
lộc	l o KP
lội	l O Y
lộn	l O NM
lộng	l o NGM
lộp	l O P
lột	l O TP
lớn	l oe NG
lớp	l oe P
lờ	l oe
lời	l oe Y
lờn	l oe NG
lở	l oe
lởi	l oe Y
lỡ	l oe
lợi	l oe Y
lợm	l oe M
lợn	l oe NG
lợp	l oe P
lụa	l ua
lục	l u KP
lụm	l U M
lụt	l u KP
lụy	l u Y
lủi	l u Y
lủng	l u NGM
lứa	l Ua
lức	l U K
lừa	l Ua
lừng	l U NG
lửa	l Ua
lửng	l U NG
lữ	l U
lữa	l Ua
lự	l U
lựa	l Ua
lực	l U K
lựu	l U W
ma	m a
mai	m ae Y
man	m ae NG
mang	m ae NG
manh	m ae n
mau	m ae W
may	m ae Y
me	m e
men	m e NG
meo	m e W
mi	m i
min	m U n
minh	m U n
miu	m i W
miên	m i NG
miêu	m i W
miến	m i NG
miếng	m i NG
miết	m i K
miếu	m i W
miền	m i NG
miểng	m i NG
miễn	m i NG
miện	m i NG
miệng	m i NG
miệt	m i K
mo	m o
moa	m w a
moi	m o Y
mong	m o NGM
moóc	m o K
moạ	m w a
moả	m w a
mu	m u
mua	m ua
mui	m u Y
mun	m u NGM
muôi	m u Y
muôn	m u NG
muông	m u NG
muối	m u Y
muốn	m u NG
muống	m u NG
muỗi	m u Y
muỗng	m u NG
muội	m u Y
muộn	m u NG
mà	m a
mài	m ae Y
màn	m ae NG
màng	m ae NG
mành	m ae n
mào	m ae W
màu	m ae W
mày	m ae Y
má	m a
mác	m ae K
mách	m ae t
mái	m ae Y
mán	m ae NG
máng	m ae NG
mánh	m ae n
máo	m ae W
mát	m ae K
máu	m ae W
máy	m ae Y
mâm	m A M
mân	m A NG
mâu	m A W
mây	m A Y
mã	m a
mãi	m ae Y
mãn	m ae NG
mãnh	m ae n
mão	m ae W
mãu	m ae W
mè	m e
mèm	m e M
mèo	m e W
mé	m e
méc	m e K
mén	m e NG
méo	m e W
mép	m e P
mét	m e K
mê	m E
mênh	m oe n
mì	m i
mìn	m U n
mình	m U n
mí	m i
mía	m ia
mím	m i M
mít	m U t
mò	m o
mòi	m o Y
mòn	m o NG
mòng	m o NGM
mó	m o
móc	m o KP
móm	m o M
món	m o NG
móng	m o NGM
móp	m o P
mót	m o K
mô	m O
môi	m O Y
môn	m O NM
mông	m o NGM
mõ	m o
mù	m u
mùa	m ua
mùi	m u Y
mùn	m u NGM
mùng	m u NGM
múa	m ua
múc	m u KP
múi	m u Y
múp	m U P
mút	m u KP
măm	m ae M
măng	m ae NG
mĩ	m i
mũ	m u
mũi	m u Y
mơ	m oe
mơn	m oe NG
mưa	m Ua
mưu	m U W
mươi	m U Y
mương	m U NG
mướn	m U NG
mướp	m U P
mướt	m U K
mười	m U Y
mường	m U NG
mượn	m U NG
mượt	m U K
mạ	m a
mạc	m ae K
mạch	m ae t
mại	m ae Y
mạn	m ae NG
mạng	m ae NG
mạnh	m ae n
mạo	m ae W
mạt	m ae K
mả	m a
mải	m ae Y
mảng	m ae NG
mảnh	m ae n
mảy	m ae Y
mấn	m A NG
mất	m A K
mấu	m A W
mấy	m A Y
mầm	m A M
mần	m A NG
mầu	m A W
mầy	m A Y
mẩn	m A NG
mẩu	m A W
mẩy	m A Y
mẫn	m A NG
mẫu	m A W
mận	m A NG
mập	m A P
mật	m A K
mậu	m A W
mắc	m ae K
mắm	m ae M
mắn	m ae NG
mắng	m ae NG
mắt	m ae K
mẳn	m ae NG
mặc	m ae K
mặn	m ae NG
mặt	m ae K
mẹ	m e
mẹo	m e W
mẻ	m e
mẽ	m e
mến	m oe n
mếu	m E W
mề	m E
mềm	m E M
mền	m oe n
mễ	m E
mệ	m E
mệnh	m oe n
mệt	m oe t
mỉ	m i
mỉa	m ia
mỉm	m i M
mị	m i
mịn	m U n
mịt	m U t
mọc	m o KP
mọi	m o Y
mọn	m o NG
mọng	m o NGM
mọt	m o K
mỏ	m o
mỏi	m o Y
mỏng	m o NGM
mốc	m o KP
mối	m O Y
mống	m o NGM
mốt	m O TP
mồ	m O
mồi	m O Y
mồm	m O M
mồng	m o NGM
mổ	m O
mỗi	m O Y
mộ	m O
mộc	m o KP
mộng	m o NGM
một	m O TP
mớ	m oe
mới	m oe Y
mớm	m oe M
mờ	m oe
mời	m oe Y
mở	m oe
mỡ	m oe
mợ	m oe
mụ	m u
mục	m u KP
mụn	m u NGM
mụp	m U P
mụt	m u KP
mủ	m u
mủi	m u Y
mủn	m u NGM
mứa	m Ua
mức	m U K
mứt	m U K
mừng	m U NG
mửa	m Ua
mực	m U K
mỹ	m i
na	n a
nai	n ae Y
nam	n ae M
nan	n ae NG
nang	n ae NG
nanh	n ae n
nao	n ae W
nay	n ae Y
nem	n e M
neo	n e W
neon	n e W
net	n e K
nga	ng a
ngai	ng ae Y
ngan	ng ae NG
ngang	ng ae NG
ngao	ng ae W
ngay	ng ae Y
nghe	ng e
nghen	ng e NG
nghi	ng i
nghiêm	ng i M
nghiên	ng i NG
nghiêng	ng i NG
nghiếm	ng i M
nghiến	ng i NG
nghiềm	ng i M
nghiền	ng i NG
nghiệm	ng i M
nghiện	ng i NG
nghiệp	ng i P
nghiệt	ng i K
nghè	ng e
nghèo	ng e W
nghé	ng e
nghén	ng e NG
nghê	ng E
nghênh	ng oe n
nghêu	ng E W
nghìm	ng i M
nghìn	ng U n
nghía	ng ia
nghĩ	ng i
nghĩa	ng ia
nghĩnh	ng U n
nghẹ	ng e
nghẹn	ng e NG
nghẹo	ng e W
nghẹt	ng e K
nghẽn	ng e NG
nghếch	ng oe t
nghề	ng E
nghệ	ng E
nghỉ	ng i
nghị	ng i
nghịch	ng U t
nghịt	ng U t
nghịu	ng i W
ngoa	ng w a
ngoan	ng w ae NG
ngoc	ng o KP
ngoi	ng o Y
ngon	ng o NG
ngoài	ng w ae Y
ngoái	ng w ae Y
ngoáy	ng w ae Y
ngoãn	ng w ae NG
ngoèo	ng w e W
ngoé	ng w e
ngoém	ng w e M
ngoại	ng w ae Y
ngoạm	ng w ae M
ngoạn	ng w ae NG
ngoải	ng w ae Y
ngoảnh	ng w ae n
ngoảy	ng w ae Y
ngoắc	ng w ae K
ngoắt	ng w ae K
ngoằn	ng w ae NG
ngoẵng	ng w ae NG
ngoặc	ng w ae K
ngoặt	ng w ae K
ngoẹo	ng w e W
ngu	ng u
nguy	ng w i
nguyên	ng w i NG
nguyền	ng w i NG
nguyển	ng w i NG
nguyễn	ng w i NG
nguyện	ng w i NG
nguyệt	ng w i K
nguôi	ng u Y
nguồn	ng u NG
nguội	ng u Y
nguỵ	ng w i
ngà	ng a
ngài	ng ae Y
ngàn	ng ae NG
ngành	ng ae n
ngào	ng ae W
ngày	ng ae Y
ngác	ng ae K
ngách	ng ae t
ngái	ng ae Y
ngám	ng ae M
ngán	ng ae NG
ngáo	ng ae W
ngáp	ng ae P
ngát	ng ae K
ngáy	ng ae Y
ngâm	ng A M
ngân	ng A NG
ngâu	ng A W
ngây	ng A Y
ngã	ng a
ngãi	ng ae Y
ngò	ng o
ngòi	ng o Y
ngó	ng o
ngóc	ng o KP
ngói	ng o Y
ngón	ng o NG
ngóng	ng o NGM
ngót	ng o K
ngô	ng O
ngôi	ng O Y
ngôn	ng O NM
ngông	ng o NGM
ngõ	ng o
ngõi	ng o Y
ngù	ng u
ngùi	ng u Y
ngùng	ng u NGM
ngút	ng u KP
ngăm	ng ae M
ngăn	ng ae NG
ngũ	ng u
ngơ	ng oe
ngơi	ng oe Y
ngư	ng U
ngưng	ng U NG
ngươi	ng U Y
ngước	ng U K
người	ng U Y
ngưỡng	ng U NG
ngược	ng U K
ngượng	ng U NG
ngạc	ng ae K
ngại	ng ae Y
ngạo	ng ae W
ngạt	ng ae K
ngả	ng a
ngải	ng ae Y
ngấm	ng A M
ngấn	ng A NG
ngất	ng A K
ngấu	ng A W
ngấy	ng A Y
ngầm	ng A M
ngần	ng A NG
ngầu	ng A W
ngẩm	ng A M
ngẩn	ng A NG
ngẩng	ng A NG
ngẫm	ng A M
ngẫu	ng A W
ngậm	ng A M
ngập	ng A P
ngậy	ng A Y
ngắm	ng ae M
ngắn	ng ae NG
ngắt	ng ae K
ngặt	ng ae K
ngọ	ng o
ngọc	ng o KP
ngọn	ng o NG
ngọng	ng o NGM
ngọt	ng o K
ngỏ	ng o
ngố	ng O
ngốc	ng o KP
ngốn	ng O NM
ngồi	ng O Y
ngổn	ng O NM
ngỗng	ng o NGM
ngộ	ng O
ngộp	ng O P
ngột	ng O TP
ngớ	ng oe
ngớp	ng oe P
ngớt	ng oe K
ngờ	ng oe
ngời	ng oe Y
ngỡ	ng oe
ngợi	ng oe Y
ngợm	ng oe M
ngợp	ng oe P
ngụ	ng u
ngục	ng u KP
ngụm	ng U M
ngụp	ng U P
ngụy	ng u Y
ngủ	ng u
ngủi	ng u Y
ngủm	ng U M
ngủn	ng u NGM
ngứa	ng Ua
ngừ	ng U
ngừa	ng Ua
ngừng	ng U NG
ngửa	ng Ua
ngửi	ng U Y
ngữ	ng U
ngự	ng U
ngựa	ng Ua
ngực	ng U K
nha	nh a
nhai	nh ae Y
nhan	nh ae NG
nhang	nh ae NG
nhanh	nh ae n
nhao	nh ae W
nhat	nh ae K
nhau	nh ae W
nhe	nh e
nheo	nh e W
nhi	nh i
nhiên	nh i NG
nhiêu	nh i W
nhiếc	nh i K
nhiếp	nh i P
nhiều	nh i W
nhiễm	nh i M
nhiễu	nh i W
nhiệm	nh i M
nhiệt	nh i K
nho	nh o
nhoi	nh o Y
nhoà	nh w a
nhoáng	nh w ae NG
nhoét	nh w e K
nhoẻn	nh w e NG
nhu	nh u
nhung	nh u NGM
nhuyễn	nh w i NG
nhuận	nh w A NG
nhuốm	nh u M
nhuộm	nh u M
nhuỵ	nh w i
nhà	nh a
nhài	nh ae Y
nhàm	nh ae M
nhàn	nh ae NG
nhàng	nh ae NG
nhành	nh ae n
nhào	nh ae W
nhàu	nh ae W
nhá	nh a
nhác	nh ae K
nhách	nh ae t
nhái	nh ae Y
nhám	nh ae M
nhánh	nh ae n
nháo	nh ae W
nháp	nh ae P
nhát	nh ae K
nháy	nh ae Y
nhâm	nh A M
nhân	nh A NG
nhât	nh A K
nhây	nh A Y
nhã	nh a
nhãi	nh ae Y
nhãn	nh ae NG
nhãng	nh ae NG
nhão	nh ae W
nhè	nh e
nhé	nh e
nhéo	nh e W
nhép	nh e P
nhét	nh e K
nhì	nh i
nhìn	nh U n
nhí	nh i
nhích	nh U t
nhím	nh i M
nhíp	nh i P
nhít	nh U t
nhíu	nh i W
nhòm	nh o M
nhóc	nh o KP
nhói	nh o Y
nhóm	nh o M
nhón	nh o NG
nhót	nh o K
nhô	nh O
nhôm	nh O M
nhông	nh o NGM
nhôông	nh O NGM
nhú	nh u
nhúc	nh u KP
nhúm	nh U M
nhún	nh u NGM
nhúng	nh u NGM
nhút	nh u KP
nhăm	nh ae M
nhăn	nh ae NG
nhăng	nh ae NG
nhĩ	nh i
nhũn	nh u NGM
nhũng	nh u NGM
nhơ	nh oe
nhơi	nh oe Y
nhơn	nh oe NG
như	nh U
nhưng	nh U NG
nhướn	nh U NG
nhường	nh U NG
nhược	nh U K
nhượng	nh U NG
nhạc	nh ae K
nhại	nh ae Y
nhạn	nh ae NG
nhạo	nh ae W
nhạt	nh ae K
nhạy	nh ae Y
nhả	nh a
nhảm	nh ae M
nhảy	nh ae Y
nhấc	nh A K
nhấm	nh A M
nhấn	nh A NG
nhấp	nh A P
nhất	nh A K
nhầm	nh A M
nhầy	nh A Y
nhẩm	nh A M
nhẫn	nh A NG
nhậm	nh A M
nhận	nh A NG
nhập	nh A P
nhật	nh A K
nhậu	nh A W
nhắc	nh ae K
nhắm	nh ae M
nhắn	nh ae NG
nhắt	nh ae K
nhằm	nh ae M
nhằn	nh ae NG
nhằng	nh ae NG
nhẵn	nh ae NG
nhặng	nh ae NG
nhặt	nh ae K
nhẹ	nh e
nhẹn	nh e NG
nhẹp	nh e P
nhẽo	nh e W
nhếch	nh oe t
nhể	nh E
nhễ	nh E
nhện	nh oe n
nhỉ	nh i
nhỉnh	nh U n
nhị	nh i
nhịn	nh U n
nhịp	nh i P
nhọ	nh o
nhọc	nh o KP
nhọn	nh o NG
nhọt	nh o K
nhỏ	nh o
nhỏng	nh o NGM
nhố	nh O
nhối	nh O Y
nhốt	nh O TP
nhồi	nh O Y
nhổ	nh O
nhổm	nh O M
nhộn	nh O NM
nhộng	nh o NGM
nhột	nh O TP
nhớ	nh oe
nhớn	nh oe NG
nhớp	nh oe P
nhớt	nh oe K
nhờ	nh oe
nhời	nh oe Y
nhờn	nh oe NG
nhở	nh oe
nhởi	nh oe Y
nhỡ	nh oe
nhợn	nh oe NG
nhợt	nh oe K
nhục	nh u KP
nhủ	nh u
nhủi	nh u Y
nhức	nh U K
nhừ	nh U
nhử	nh U
những	nh U NG
nhựa	nh Ua
ni	n i
ninh	n U n
niu	n i W
niêm	n i M
niên	n i NG
niêu	n i W
niềm	n i M
niền	n i NG
niềng	n i NG
niễng	n i NG
niệm	n i M
niệt	n i K
no	n o
noi	n o Y
nom	n o M
non	n o NG
nong	n o NGM
noãn	n w ae NG
nui	n u Y
nung	n u NGM
nuy	n w i
nuôi	n u Y
nuối	n u Y
nuốt	n u K
nuột	n u K
ny	n i
nài	n ae Y
nàn	n ae NG
nàng	n ae NG
nành	n ae n
nào	n ae W
này	n ae Y
ná	n a
nách	n ae t
nái	n ae Y
nám	n ae M
nán	n ae NG
náng	n ae NG
náo	n ae W
nát	n ae K
náu	n ae W
nâng	n A NG
nâu	n A W
nã	n a
não	n ae W
nãy	n ae Y
nè	n e
né	n e
ném	n e M
nén	n e NG
nép	n e P
nét	n e K
nê	n E
nêm	n E M
nên	n oe n
nêu	n E W
ních	n U t
nín	n U n
níu	n i W
nòi	n o Y
nòng	n o NGM
nó	n o
nóc	n o KP
nói	n o Y
nón	n o NG
nóng	n o NGM
nô	n O
nôi	n O Y
nôm	n O M
nôn	n O NM
nông	n o NGM
nõ	n o
nõn	n o NG
nùi	n u Y
nùng	n u NGM
núc	n u KP
núi	n u Y
núm	n U M
núp	n U P
nút	n u KP
năm	n ae M
năng	n ae NG
nĩa	n ia
nơ	n oe
nơi	n oe Y
nương	n U NG
nước	n U K
nướng	n U NG
nướu	n U W
nười	n U Y
nườm	n U M
nượp	n U P
nạ	n a
nạc	n ae K
nại	n ae Y
nạm	n ae M
nạn	n ae NG
nạng	n ae NG
nạo	n ae W
nạp	n ae P
nạt	n ae K
nạy	n ae Y
nải	n ae Y
nản	n ae NG
nảy	n ae Y
nấc	n A K
nấm	n A M
nấp	n A P
nấu	n A W
nấy	n A Y
nần	n A NG
nầy	n A Y
nẩu	n A W
nẩy	n A Y
nẫu	n A W
nập	n A P
nậy	n A Y
nắm	n ae M
nắn	n ae NG
nắng	n ae NG
nắp	n ae P
nằm	n ae M
nằng	n ae NG
nẳm	n ae M
nẵng	n ae NG
nặc	n ae K
nặn	n ae NG
nặng	n ae NG
nẹp	n e P
nẻ	n e
nẻo	n e W
nếm	n E M
nến	n oe n
nếp	n E P
nết	n oe t
nếu	n E W
nề	n E
nền	n oe n
nể	n E
nệm	n E M
nện	n oe n
nỉ	n i
nịch	n U t
nịnh	n U n
nịt	n U t
nọ	n o
nọc	n o KP
nọng	n o NGM
nỏ	n o
nốc	n o KP
nối	n O Y
nốt	n O TP
nồi	n O Y
nồng	n o NGM
nổ	n O
nổi	n O Y
nỗ	n O
nỗi	n O Y
nộ	n O
nội	n O Y
nộm	n O M
nộp	n O P
nớ	n oe
nới	n oe Y
nở	n oe
nỡ	n oe
nợ	n oe
nụ	n u
nứa	n Ua
nức	n U K
nứng	n U NG
nứt	n U K
nừng	n U NG
nửa	n Ua
nữ	n U
nữa	n Ua
nực	n U K
nựng	n U NG
o	o
oai	w ae Y
oan	w ae NG
oanh	w ae n
oi	o Y
ok	o KP
om	o M
ong	o NGM
oà	w a
oách	w ae t
oái	w ae Y
oán	w ae NG
oóc	o K
oải	w ae Y
oắt	w ae K
oằn	w ae NG
oẳng	w ae NG
oặt	w ae K
pa	p a
panh	p ae n
pao	p ae W
pha	f a
phai	f ae Y
phan	f ae NG
phang	f ae NG
phanh	f ae n
phao	f ae W
phau	f ae W
phay	f ae Y
phe	f e
phen	f e NG
pheng	f e NG
phi	f i
phim	f i M
phin	f U n
phiu	f i W
phiên	f i NG
phiếm	f i M
phiến	f i NG
phiếu	f i W
phiền	f i NG
pho	f o
phoi	f o Y
phong	f o NGM
phu	f u
phun	f u NGM
phuy	f w i
phà	f a
phàm	f ae M
phàn	f ae NG
phàng	f ae NG
phào	f ae W
phá	f a
phác	f ae K
phách	f ae t
phái	f ae Y
phán	f ae NG
pháo	f ae W
pháp	f ae P
phát	f ae K
phân	f A NG
phây	f A Y
phè	f e
phèn	f e NG
phèo	f e W
phép	f e P
phét	f e K
phê	f E
phên	f oe n
phì	f i
phình	f U n
phí	f i
phía	f ia
phích	f U t
phím	f i M
phò	f o
phòi	f o Y
phòng	f o NGM
phó	f o
phóng	f o NGM
phô	f O
phôi	f O Y
phông	f o NGM
phù	f u
phùn	f u NGM
phùng	f u NGM
phú	f u
phúc	f u KP
phút	f u KP
phũ	f u
phơ	f oe
phơi	f oe Y
phương	f U NG
phước	f U K
phường	f U NG
phượng	f U NG
phượt	f U K
phạm	f ae M
phạt	f ae K
phả	f a
phải	f ae Y
phản	f ae NG
phấn	f A NG
phất	f A K
phần	f A NG
phẩm	f A M
phẩy	f A Y
phẫu	f A W
phận	f A NG
phập	f A P
phật	f A K
phẳng	f ae NG
phế	f E
phếch	f oe t
phết	f oe t
phễu	f E W
phệ	f E
phỉ	f i
phỉnh	f U n
phị	f i
phịch	f U t
phọt	f o K
phỏng	f o NGM
phố	f O
phối	f O Y
phốt	f O TP
phồng	f o NGM
phổ	f O
phổi	f O Y
phổng	f o NGM
phỗng	f o NGM
phới	f oe Y
phớt	f oe K
phở	f oe
phụ	f u
phục	f u KP
phụng	f u NGM
phụt	f u KP
phủ	f u
phủi	f u Y
phức	f U K
phừng	f U NG
pin	p U n
pê	p E
pí	p i
pích	p U t
píp	p i P
pô	p O
pương	p U NG
qua	w a
quai	w ae Y
quan	w ae NG
quang	w ae NG
quanh	w ae n
quay	w ae Y
que	w e
quen	w e NG
qui	w i
quy	w i
quyên	w i NG
quyến	w i NG
quyết	w i K
quyền	w i NG
quyển	w i NG
quyện	w i NG
quyệt	w i K
quà	w a
quàng	w ae NG
quành	w ae n
quào	w ae W
quá	w a
quách	w ae t
quái	w ae Y
quán	w ae NG
quáng	w ae NG
quánh	w ae n
quát	w ae K
quân	w A NG
quây	w A Y
quãng	w ae NG
què	w e
qué	w e
quét	w e K
quê	w E
quên	w oe n
quí	w i
quít	w U t
quý	w i
quýnh	w U n
quýt	w U t
quăn	w ae NG
quăng	w ae NG
quơ	w oe
quạ	w a
quạc	w ae K
quại	w ae Y
quạnh	w ae n
quạt	w ae K
quạu	w ae W
quả	w a
quản	w ae NG
quảng	w ae NG
quảy	w ae Y
quấc	w A K
quấn	w A NG
quất	w A K
quấy	w A Y
quần	w A NG
quầng	w A NG
quầy	w A Y
quẩn	w A NG
quẩy	w A Y
quẫy	w A Y
quận	w A NG
quật	w A K
quậy	w A Y
quắt	w ae K
quằn	w ae NG
quặm	w ae M
quặn	w ae NG
quặng	w ae NG
quặt	w ae K
quẹo	w e W
quẹt	w e K
quẻ	w e
quế	w E
quết	w oe t
quỉ	w i
quốc	w o KP
quở	w oe
quỳ	w i
quỳnh	w U n
quỵ	w i
quỵt	w U t
quỷ	w i
quỹ	w i
ra	r a
rai	r ae Y
ram	r ae M
ran	r ae NG
rang	r ae NG
ranh	r ae n
rao	r ae W
rau	r ae W
ray	r ae Y
ren	r e NG
reo	r e W
ri	r i
ria	r ia
rinh	r U n
riu	r i W
riêng	r i NG
riêu	r i W
riết	r i K
riềng	r i NG
riệu	r i W
ro	r o
roi	r o Y
rong	r o NGM
room	r o M
ru	r u
rum	r U M
run	r u NGM
rung	r u NGM
ruốc	r u K
ruồi	r u Y
ruồng	r u NG
ruộng	r u NG
ruột	r u K
rà	r a
ràn	r ae NG
ràng	r ae NG
rành	r ae n
rào	r ae W
rày	r ae Y
rá	r a
rác	r ae K
rách	r ae t
rái	r ae Y
rám	r ae M
rán	r ae NG
ráng	r ae NG
ráo	r ae W
ráp	r ae P
rát	r ae K
ráy	r ae Y
râm	r A M
rân	r A NG
râu	r A W
rây	r A Y
rã	r a
rãi	r ae Y
rãnh	r ae n
rãy	r ae Y
rèm	r e M
rèn	r e NG
ré	r e
rén	r e NG
réo	r e W
rét	r e K
rê	r E
rên	r oe n
rêu	r E W
rì	r i
rìa	r ia
rình	r U n
rìu	r i W
rích	r U t
rít	r U t
ríu	r i W
rò	r o
ròm	r o M
ròng	r o NGM
róc	r o KP
rót	r o K
rô	r O
rông	r o NGM
rõ	r o
rùa	r ua
rùm	r U M
rùn	r u NGM
rùng	r u NGM
rú	r u
rúc	r u KP
rún	r u NGM
rút	r u KP
răn	r ae NG
răng	r ae NG
rũ	r u
rũa	r ua
rơ	r oe
rơi	r oe Y
rơm	r oe M
rưng	r U NG
rươi	r U Y
rương	r U NG
rước	r U K
rưới	r U Y
rướm	r U M
rướn	r U NG
rường	r U NG
rưởi	r U Y
rưỡi	r U Y
rượi	r U Y
rượt	r U K
rượu	r U W
rạ	r a
rạc	r ae K
rạch	r ae t
rạn	r ae NG
rạng	r ae NG
rạo	r ae W
rạp	r ae P
rạt	r ae K
rải	r ae Y
rảnh	r ae n
rảo	r ae W
rảy	r ae Y
rấm	r A M
rấn	r A NG
rấp	r A P
rất	r A K
rầm	r A M
rầu	r A W
rầy	r A Y
rẩy	r A Y
rẫy	r A Y
rậm	r A M
rận	r A NG
rập	r A P
rắc	r ae K
rắm	r ae M
rắn	r ae NG
rắp	r ae P
rắt	r ae K
rằm	r ae M
rằn	r ae NG
rằng	r ae NG
rặn	r ae NG
rặng	r ae NG
rẻ	r e
rẻo	r e W
rẽ	r e
rế	r E
rếch	r oe t
rết	r oe t
rề	r E
rền	r oe n
rể	r E
rễ	r E
rệ	r E
rệp	r E P
rệt	r oe t
rỉ	r i
rỉa	r ia
rịch	r U t
