a	a
lục	l u KP
lụt	l u KP
lủi	l u Y
lủng	l u NGM
lứa	l U 3
lừa	l U 3
lừng	l U NG
lửa	l U 3
lửng	l U NG
lữ	l U
lữa	l U 3
lự	l U
lựa	l U 3
lực	l U
lực	l U K
lựu	l U W
m	e m 2
ma	m a
mai	m a Y
man	m a NG
mang	m a NG
manh	m 4 N
mau	m 4 W
may	m 4 Y
me	m e
men	m e NG
mi	m i
minh	m U N
miên	m i NG
miêu	m i W
miếng	m i NG
miết	m i K
miếu	m i W
miền	m i NG
miễn	m i NG
miện	m i NG
miệng	m i NG
miệt	m i K
mong	m o NGM
mu	m u
mua	m u 3
mun	m u NGM
muôn	m u NG
muông	m u NG
muối	m u Y
muốn	m u NG
muỗng	m u NG
muộn	m u NG
mà	m a
mài	m a Y
màn	m a NG
màng	m a NG
mành	m 4 N
mào	m a W
màu	m 4 W
mày	m 4 Y
má	m a
mác	m a K
mách	m 4 T
mái	m a Y
mán	m a NG
máo	m a W
mát	m a
mát	m a K
máu	m 4 W
máy	m 4 Y
mâm	m A M
mâu	m A W
mây	m A Y
mã	m a
mãi	m a Y
mãn	m a NG
mãnh	m 4 N
mè	m e
mèo	m e W
mé	m e
méo	m e W
mép	m e P
mét	m e K
mê	m E
mênh	m 2 N
mì	m i
mìn	m U N
mình	m U N
mí	m i
mía	m i 3
mít	m U T
mò	m o
mòi	m o Y
mòn	m o NG
mòng	m o NGM
mó	m o
móc	m o KP
móm	m o M
món	m o NG
móng	m o NGM
móp	m o P
mót	m o
mót	m o K
mô	m O
môi	m O Y
môn	m O NM
mông	m o NGM
mù	m u
mùa	m u 3
mùi	m u Y
múa	m u 3
múi	m u Y
múp	m U
múp	m U P
mút	m u KP
măm	m 4 M
măng	m 4 NG
mũ	m u
mũi	m u Y
mơ	m 2
mơn	m 2 NG
mưa	m U 3
mưu	m U W
mươi	m U Y
mướn	m U NG
mướt	m U K
mười	m U Y
mường	m U NG
mượn	m U NG
mượt	m U
mượt	m U K
mạ	m a
mạc	m a
mạc	m a K
mạch	m a
mạch	m 4 T
mại	m a Y
mạn	m a NG
mạng	m a NG
mạnh	m 4 N
mạo	m a W
mạt	m a
mạt	m a K
mả	m a
mải	m a Y
mảng	m a NG
mảnh	m 4 N
mất	m A K
mấu	m A W
mấy	m A Y
mầm	m A M
mần	m A NG
mầu	m A W
mẩn	m A NG
mẩu	m A W
mẩy	m A Y
mẫn	m A NG
mẫu	m A W
mận	m A NG
mập	m A P
mật	m A K
mậu	m A W
mắc	m 4 K
mắm	m 4 M
mắn	m 4 NG
mắng	m 4 NG
mắt	m a
mắt	m 4 K
mẳn	m 4 NG
mặc	m a
mặc	m 4 K
mặn	m 4 NG
mặt	m a
mặt	m 4 K
mẹ	m e
mẹo	m e W
mẻ	m e
mẽ	m e
mến	m 2 N
mếu	m E W
mề	m E
mềm	m E M
mệ	m E
mệnh	m 2 N
mệt	m 2
mệt	m 2 T
mỉ	m i
mỉm	m i M
mị	m i
mịn	m U N
mịt	m U T
mọc	m o KP
mọi	m o Y
mọng	m o NGM
mỏ	m o
mỏi	m o Y
mỏng	m o NGM
mốc	m o KP
mối	m O Y
mốt	m o
mốt	m O K
mồ	m O
mồi	m O Y
mồm	m O M
mồng	m o NGM
mổ	m O
mỗi	m O Y
mộ	m O
mộc	m o KP
mộng	m o NGM
một	m o
một	m O K
mớ	m 2
mới	m 2 Y
mờ	m 2
mời	m 2 Y
mở	m 2
mỡ	m 2
mụ	m u
mục	m u KP
mụn	m u NGM
mủ	m u
mức	m U K
mứt	m U K
mừng	m U NG
mửa	m U 3
mực	m U K
mỹ	m i
n	e n 2
na	n a
nai	n a Y
nam	n a M
nan	n a NG
nang	n a NG
nanh	n 4 N
nao	n a W
nay	n 4 Y
neo	n e W
nga	ng a
ngai	ng a Y
ngang	ng a NG
ngao	ng a W
ngay	ng 4 Y
nghe	ng e
nghi	ng i
nghiêm	ng i M
nghiên	ng i NG
nghiêng	ng i NG
nghiến	ng i NG
nghiền	ng i NG
nghiệm	ng i M
nghiện	ng i NG
nghiệp	ng i
nghiệp	ng i P
nghiệt	ng i
nghiệt	ng i K
nghèo	ng e W
nghé	ng e
nghênh	ng 2 N
nghêu	ng E W
nghìn	ng U N
nghía	ng i 3
nghĩ	ng i
nghĩa	ng i 3
nghĩnh	ng U N
nghẹn	ng e NG
nghẹt	ng e
nghẹt	ng e K
nghẽn	ng e NG
nghếch	ng 2
nghếch	ng 2 T
nghề	ng E
nghệ	ng E
nghỉ	ng i
nghị	ng i
nghịch	ng U T
ngoan	ng w a NG
ngon	ng o NG
ngoài	ng w a Y
ngoái	ng w a Y
ngoáy	ng w 4 Y
ngoãn	ng w a NG
ngoèo	ng w e W
ngoại	ng w a Y
ngoạn	ng w a NG
ngoắc	ng w 4 K
ngoằn	ng w 4 NG
ngoặc	ng w a
ngoặc	ng w 4 K
ngoặt	ng w 4 K
ngu	ng u
nguy	ng w i
nguyên	ng w i NG
nguyền	ng w i NG
nguyễn	ng w i NG
nguyện	ng w i NG
nguyệt	ng w i K
nguồn	ng u NG
nguội	ng u Y
ngà	ng a
ngài	ng a Y
ngàn	ng a NG
ngàng	ng a NG
ngành	ng 4 N
ngào	ng a W
ngày	ng 4 Y
ngác	ng a
ngác	ng a K
ngách	ng 4 T
ngán	ng a NG
ngáp	ng a P
ngát	ng a
ngát	ng a K
ngáy	ng 4 Y
ngâm	ng A M
ngân	ng A NG
ngây	ng A Y
ngã	ng a
ngãi	ng a Y
ngòi	ng o Y
ngó	ng o
ngói	ng o Y
ngón	ng o NG
ngóng	ng o NGM
ngót	ng o K
ngô	ng O
ngôi	ng O Y
ngôn	ng O NM
ngông	ng o NGM
ngõ	ng o
ngút	ng u KP
ngăm	ng 4 M
ngăn	ng 4 NG
ngũ	ng u
ngơ	ng 2
ngơi	ng 2 Y
ngư	ng U
ngưng	ng U NG
ngươi	ng U Y
ngước	ng U K
người	ng U Y
ngưỡng	ng U NG
ngược	ng U K
ngạc	ng a
ngạc	ng a K
ngại	ng a Y
ngạo	ng a W
ngạt	ng a
ngạt	ng a K
ngả	ng a
ngải	ng a Y
ngấm	ng A M
ngất	ng A K
ngầm	ng A M
ngần	ng A NG
ngẩm	ng A M
ngẩn	ng A NG
ngẩng	ng A NG
ngẫm	ng A M
ngẫu	ng A W
ngậm	ng A M
ngập	ng A P
ngậy	ng A Y
ngắm	ng 4 M
ngắn	ng 4 NG
ngắt	ng 4 K
ngặt	ng 4 K
ngọ	ng o
ngọc	ng o KP
ngọn	ng o NG
ngọng	ng o NGM
ngọt	ng o
ngọt	ng o K
ngỏ	ng o
ngốc	ng o KP
ngốn	ng O NM
ngồi	ng O Y
ngỗng	ng o NGM
ngộ	ng O
ngột	ng O K
ngớt	ng 2
ngớt	ng 2 K
ngờ	ng 2
ngỡ	ng 2
ngợi	ng 2 Y
ngợp	ng 2
ngợp	ng 2 P
ngụ	ng u
ngụm	ng U M
ngụy	ng u Y
ngủ	ng u
ngủi	ng u Y
ngủn	ng u NGM
ngứa	ng U 3
ngừ	ng U
ngừa	ng U 3
ngừng	ng U NG
ngửi	ng U Y
ngữ	ng U
ngự	ng U
ngựa	ng U 3
ngực	ng U
ngực	ng U K
nha	nh a
nhai	nh a Y
nhan	nh a NG
nhang	nh a NG
nhanh	nh 4 N
nhao	nh a W
nhau	nh 4 W
nhe	nh e
nheo	nh e W
nhi	nh i
nhiên	nh i NG
nhiêu	nh i W
nhiếp	nh i P
nhiều	nh i W
nhiễm	nh i M
nhiễu	nh i W
nhiệm	nh i M
nhiệt	nh i
nhiệt	nh i K
nho	nh o
nhoáng	nh w a NG
nhoét	nh w e
nhoét	nh w e K
nhoẻn	nh w e NG
nhu	nh u
nhung	nh u NGM
nhuyễn	nh w i NG
nhuận	nh w A NG
nhuốm	nh u M
nhuộm	nh u M
nhà	nh a
nhàm	nh a M
nhàn	nh a NG
nhàng	nh a NG
nhào	nh a W
nhàu	nh 4 W
nhá	nh a
nhác	nh a K
nhánh	nh 4 N
nháo	nh a W
nhát	nh a K
nháy	nh 4 Y
nhâm	nh A M
nhân	nh A NG
nhã	nh a
nhãi	nh a Y
nhãn	nh a NG
nhãng	nh a NG
nhão	nh a W
nhè	nh e
nhé	nh e
nhép	nh e P
nhét	nh e
nhét	nh e K
nhì	nh i
nhìn	nh U N
nhí	nh i
nhích	nh U
nhích	nh U T
nhím	nh i M
nhóc	nh o KP
nhói	nh o Y
nhóm	nh o M
nhót	nh o K
nhô	nh O
nhôm	nh O M
nhông	nh o NGM
nhõm	nh o M
nhú	nh u
nhúc	nh u KP
nhún	nh u NGM
nhút	nh u KP
nhăm	nh 4 M
nhăn	nh 4 NG
nhăng	nh 4 NG
nhĩ	nh i
nhũng	nh u NGM
nhơi	nh 2 Y
nhơn	nh 2 NG
như	nh U
nhưng	nh U NG
nhường	nh U NG
nhưỡng	nh U NG
nhược	nh U K
nhượng	nh U NG
nhạc	nh a
nhạc	nh a K
nhạo	nh a W
nhạt	nh a
nhạt	nh a K
nhạy	nh 4 Y
nhảm	nh a M
nhản	nh a NG
nhảy	nh 4 Y
nhấc	nh A K
nhấm	nh A M
nhấn	nh A NG
nhấp	nh A P
nhất	nh A K
nhầm	nh A M
nhẩm	nh A M
nhẫn	nh A NG
nhậm	nh A M
nhận	nh A NG
nhập	nh A P
nhật	nh A K
nhậu	nh A W
nhắc	nh 4 K
nhắm	nh 4 M
nhắn	nh 4 NG
nhằm	nh 4 M
nhằn	nh 4 NG
nhằng	nh 4 NG
nhẵn	nh 4 NG
nhặt	nh 4 K
nhẹ	nh e
nhẹp	nh e P
nhẹt	nh e K
nhẽo	nh e W
nhếch	nh 2 T
nhện	nh 2 N
nhỉ	nh i
nhỉnh	nh U N
nhị	nh i
nhịn	nh U N
nhịp	nh i P
nhọc	nh o KP
nhọn	nh o NG
nhọt	nh o K
nhỏ	nh o
nhố	nh O
nhối	nh O Y
nhốt	nh O K
nhồi	nh O Y
nhổm	nh O M
nhột	nh O K
nhớ	nh 2
nhớp	nh 2 P
nhờ	nh 2
nhờn	nh 2 NG
nhở	nh 2
nhợt	nh 2
nhợt	nh 2 K
nhục	nh u KP
nhủ	nh u
nhức	nh U K
những	nh U NG
nhựa	nh U 3
ni	n i
ninh	n U N
niêm	n i M
niên	n i NG
niêu	n i W
niềm	n i M
niệm	n i M
no	n o
nom	n o M
non	n o NG
nong	n o NGM
nung	n u NGM
nuôi	n u Y
nuối	n u Y
nuốt	n u
nuốt	n u K
nàn	n a NG
nàng	n a NG
nành	n 4 N
nào	n a W
này	n 4 Y
nách	n 4 T
nám	n a M
nán	n a NG
náo	n a W
nát	n a
nát	n a K
nâng	n A NG
nâu	n A W
não	n a W
nãy	n 4 Y
nè	n e
né	n e
ném	n e M
nén	n e NG
nét	n e
nét	n e K
nê	n E
nêm	n E M
nên	n 2 N
nêu	n E W
ních	n U T
nín	n U N
níu	n i W
nòng	n o NGM
nó	n o
nóc	n o KP
nói	n o Y
nón	n o NG
nóng	n o NGM
nót	n o
nót	n o K
nô	n O
nôi	n O Y
nôm	n O M
nôn	n O NM
nông	n o NGM
nõn	n o NG
núi	n u Y
núm	n U M
nút	n u KP
năm	n 4 M
năn	n 4 NG
năng	n 4 NG
nơi	n 2 Y
nương	n U NG
nước	n U
nước	n U K
nướng	n U NG
nạ	n a
nạc	n a
nạc	n a K
nại	n a Y
nạn	n a NG
nạo	n a W
nạp	n a P
nạt	n a K
nản	n a NG
nảy	n 4 Y
nấc	n A K
nấm	n A M
nấu	n A W
nấy	n A Y
nần	n A NG
nầy	n A Y
nậm	n A M
nập	n A P
nậu	n A W
nắm	n 4 M
nắn	n 4 NG
nắng	n 4 NG
nắp	n 4 P
nằm	n 4 M
nằng	n 4 NG
nẵng	n 4 NG
nặc	n 4 K
nặng	n 4 NG
nẹp	n e P
nẻ	n e
nẻo	n e W
nếm	n E M
nến	n 2 N
nếp	n E P
nết	n 2 T
nếu	n E W
nề	n E
nền	n 2 N
nể	n E
nệm	n E M
nỉ	n i
nịch	n U T
nịnh	n U N
nọ	n o
nọc	n o KP
nọng	n o NGM
nối	n O Y
nốt	n O K
nồi	n O Y
nồng	n o NGM
nổ	n O
nổi	n O Y
nỗ	n O
nỗi	n O Y
nộ	n O
nội	n O Y
nộp	n O P
nới	n 2 Y
nở	n 2
nỡ	n 2
nợ	n 2
nụ	n u
nức	n U
nức	n U K
nứt	n U
nứt	n U K
nửa	n U 3
nữ	n U
nữa	n U 3
o	o
oan	w a NG
oanh	w 4 N
oi	o Y
ong	o NGM
oái	w a Y
oải	w a Y
oằn	w 4 NG
p	p E
pa	p a
pha	f a
phan	f a NG
phanh	f 4 N
phao	f a W
phe	f e
phi	f i
phim	f i M
phiên	f i NG
phiếu	f i W
phiền	f i NG
pho	f o
phong	f o NGM
phu	f u
phun	f u NGM
phàm	f a M
phàn	f a NG
phào	f a W
phá	f a
phác	f a K
phách	f 4 T
phái	f a Y
phán	f a NG
pháo	f a W
pháp	f a
pháp	f a P
phát	f a
phát	f a K
phân	f A NG
phây	f A Y
phè	f e
phèn	f e NG
phèo	f e W
phép	f e
phép	f e P
phét	f e K
phê	f E
phì	f i
phình	f U N
phí	f i
phía	f i 3
phích	f U T
phím	f i M
phò	f o
phòng	f o NGM
phó	f o
phóng	f o NGM
phô	f O
phôi	f O Y
phông	f o NGM
phù	f u
phùng	f u NGM
phú	f u
phúc	f u KP
phút	f u KP
phơ	f 2
phơi	f 2 Y
phương	f U NG
phước	f U K
phường	f U NG
phượng	f U NG
phạc	f a K
phạm	f a M
phạt	f a
phạt	f a K
phả	f a
phải	f a Y
phản	f a NG
phấn	f A NG
phất	f A K
phần	f A NG
phẩm	f A M
phẩy	f A Y
phẫn	f A NG
phẫu	f A W
phận	f A NG
phật	f A K
phẳng	f 4 NG
phế	f E
phết	f 2 T
phỉ	f i
phỉnh	f U N
phỏng	f o NGM
phố	f O
phối	f O Y
phồng	f o NGM
phổ	f O
phổi	f O Y
phổng	f o NGM
phỗng	f o NGM
phới	f 2 Y
phớt	f 2 K
phờ	f 2
phở	f 2
phụ	f u
phục	f u KP
phụng	f u NGM
phủ	f u
phức	f U
phức	f U K
pin	p U N
pí	p i
qua	w a
quan	w a NG
quang	w a NG
quanh	w 4 N
quay	w 4 Y
que	w e
quen	w e NG
qui	w i
quy	w i
quyên	w i NG
quyến	w i NG
quyết	w i
quyết	w i K
quyền	w i NG
quyển	w i NG
quyện	w i NG
quyệt	w i K
quà	w a
quàng	w a NG
quá	w a
quách	w 4 T
quái	w a Y
quán	w a NG
quáng	w a NG
quánh	w 4 N
quát	w a K
quân	w A NG
quây	w A Y
quãng	w a NG
què	w e
quét	w e
quét	w e K
quê	w E
quên	w 2 N
quí	w i
quít	w U T
quý	w i
quýnh	w U N
quýt	w U T
quăng	w 4 NG
quĩ	w i
quạt	w a
quạt	w a K
quả	w a
quản	w a NG
quảng	w a NG
quấn	w A NG
quất	w A K
quấy	w A Y
quần	w A NG
quầng	w A NG
quầy	w A Y
quẩn	w A NG
quẫy	w A Y
quận	w A NG
quật	w A K
quậy	w A Y
quẳng	w 4 NG
quế	w E
quết	w 2 T
quốc	w A k
quỳ	w i
quỳnh	w U N
quỵ	w i
quỷ	w i
quỹ	w i
ra	r a
rai	r a Y
ran	r a NG
rang	r a NG
ranh	r 4 N
rao	r a W
rap	r a P
rau	r 4 W
ray	r 4 Y
ren	r e NG
reo	r e W
ri	r i
ria	r i 3
riêng	r i NG
riết	r i K
ro	r o
roi	r o Y
rong	r o NGM
room	r o M
ru	r u
run	r u NGM
rung	r u NGM
ruốc	r u K
ruồi	r u Y
ruộng	r u NG
ruột	r u
ruột	r u K
rà	r a
ràng	r a NG
rành	r 4 N
rào	r a W
rày	r 4 Y
rác	r a K
rách	r 4 T
rái	r a Y
rám	r a M
rán	r a NG
ráng	r a NG
ráo	r a W
ráp	r a
ráp	r a P
ráy	r 4 Y
râm	r A M
rân	r A NG
râu	r A W
rã	r a
rãi	r a Y
rèm	r e M
rèn	r e NG
rét	r e K
rê	r E
rên	r 2 N
rêu	r E W
rì	r i
rình	r U N
rít	r U T
ríu	r i W
ròng	r o NGM
rót	r o K
rô	r O
rõ	r o
rùa	r u 3
rú	r u
rúc	r u KP
rút	r u KP
răn	r 4 NG
răng	r 4 NG
rũ	r u
rơi	r 2 Y
rơm	r 2 M
rưng	r U NG
rươi	r U Y
rước	r U K
rướm	r U M
rưởi	r U Y
rượi	r U Y
rượt	r U K
rượu	r U W
rạ	r a
rạch	r a
rạch	r 4 T
rạn	r a NG
rạng	r a NG
rạo	r a W
rạp	r a P
rạt	r a K
rả	r a
rải	r a Y
rảnh	r 4 N
rảo	r a W
rấn	r A NG
rất	r A K
rầm	r A M
rần	r A NG
rầu	r A W
rầy	r A Y
rẫy	r A Y
rậm	r A M
rập	r A P
rắc	r 4 K
rắm	r 4 M
rắn	r 4 NG
rằm	r 4 M
rằng	r 4 NG
rặng	r 4 NG
rẻ	r e
rẽ	r e
rề	r E
rể	r E
rễ	r E
rệ	r E
rệt	r 2
rệt	r 2 T
rỉ	r i
rỉa	r i 3
rịch	r U T
rịn	r U N
rối	r O Y
rốn	r O NM
rốt	r O K
rồ	r O
rồi	r O Y
rồng	r o NGM
rỗi	r O Y
rỗng	r o NGM
rộ	r O
rộn	r O NM
rộng	r o NGM
rộp	r O P
rớm	r 2 M
rớt	r 2
rớt	r 2 K
rờ	r 2
rời	r 2 Y
rờn	r 2 NG
rỡ	r 2
rợn	r 2 NG
rợp	r 2 P
rục	r u KP
rụi	r u Y
rụng	r u NGM
rủ	r u
rủa	r u 3
rủi	r u Y
rừng	r U NG
rửa	r U 3
rựa	r U 3
rực	r U K
s	e K s i
sa	s a
sai	s a Y
sam	s a M
san	s a NG
sang	s a NG
sao	s a W
sau	s 4 W
say	s 4 Y
se	s e
sen	s e NG
si	s i
sim	s i M
sing	s U N
sinh	s U N
siêu	s i W
siết	s i K
so	s o
soi	s o Y
son	s o NG
song	s o NGM
soát	s w a
soát	s w a K
soạn	s w a NG
soạng	s w a NG
su	s u
sum	s U M
sung	s u NGM
suy	s w i
suyễn	s w i NG
suýt	s w U
suýt	s w U T
suất	s w A K
suối	s u Y
suốt	s u
suốt	s u K
sà	s a
sài	s a Y
sàm	s a M
sàn	s a NG
sàng	s a NG
sành	s 4 N
sào	s a W
sá	s a
sách	s a
sách	s 4 T
sái	s a Y
sán	s a NG
sáng	s a NG
sánh	s 4 N
sáo	s a W
sáp	s a P
sát	s a
sát	s a K
sáu	s 4 W
sâm	s A M
sân	s A NG
sâu	s A W
sãi	s a Y
séc	s e K
sét	s e K
sê	s E
sính	s U N
sò	s o
sòng	s o NGM
sóc	s o KP
sói	s o Y
sóng	s o NGM
sót	s o
sót	s o K
sô	s O
sôi	s O Y
sông	s o NGM
sõi	s o Y
sùi	s u Y
súc	s u KP
súng	s u NGM
súp	s U P
sút	s u KP
săn	s 4 NG
sĩ	s i
sơ	s 2
sơn	s 2 NG
sư	s U
sưa	s U 3
sưng	s U NG
sưu	s U W
sương	s U NG
sướng	s U NG
sườn	s U NG
sưởi	s U Y
sạc	s a K
sạch	s a
sạch	s 4 T
sạm	s a M
sạn	s a NG
sạp	s a
sạp	s a P
sạt	s a
sạt	s a K
sản	s a NG
sảnh	s 4 N
sảo	s a W
sấm	s A M
sấu	s A W
sấy	s A Y
sầm	s A M
sần	s A NG
sầu	s A W
sẫm	s A M
sập	s A P
sắc	s a
sắc	s 4 K
sắm	s 4 M
sắn	s 4 NG
sắp	s a
sắp	s 4 P
sắt	s a
sắt	s 4 K
sẵn	s 4 NG
sặc	s 4 K
sẹo	s e W
sẻ	s e
sẽ	s e
sếp	s E P
sệt	s 2
sệt	s 2 T
sọ	s o
sỏi	s o Y
số	s O
sốc	s o KP
sống	s o NGM
sốt	s O K
sổ	s O
sớ	s 2
sớm	s 2 M
sớt	s 2 K
sờ	s 2
sở	s 2
sỡ	s 2
sợ	s 2
sợi	s 2 Y
sục	s u KP
sụn	s u NGM
sụp	s U P
sụt	s u KP
sủa	s u 3
sứ	s U
sức	s U
sức	s U K
sừng	s U NG
sử	s U
sửa	s U 3
sửng	s U NG
sữa	s U 3
sững	s U NG
sự	s U
sực	s U K
sỹ	s i
t	t E
ta	t a
tai	t a Y
tam	t a M
tan	t a NG
tang	t a NG
tanh	t 4 N
tao	t a W
tay	t 4 Y
tem	t e M
teo	t e W
tha	th a
thai	th a Y
tham	th a M
than	th a NG
thang	th a NG
thanh	th 4 N
thao	th a W
thay	th 4 Y
the	th e
then	th e NG
theo	th e W
thi	th i
thinh	th U N
thiêm	th i M
thiên	th i NG
thiêng	th i NG
thiếp	th i P
thiết	th i
thiết	th i K
thiếu	th i W
thiền	th i NG
thiểu	th i W
thiện	th i NG
thiệp	th i P
thiệt	th i
thiệt	th i K
thiệu	th i W
tho	th o
thoa	th w a
thoang	th w a NG
thoi	th o Y
thon	th o NG
thong	th o NGM
thoái	th w a Y
thoáng	th w a NG
thoát	th w a
thoát	th w a K
thoại	th w a Y
thoạt	th w a
thoạt	th w a K
thoả	th w a
thoải	th w a Y
thoảng	th w a NG
thoắt	th w 4 K
thu	th u
thua	th u 3
thui	th u Y
thun	th u NGM
thung	th u NGM
thuyên	th w i NG
thuyết	th w i
thuyết	th w i K
thuyền	th w i NG
thuê	th w E
thuần	th w A NG
thuẫn	th w A NG
thuận	th w A NG
thuật	th w A K
thuế	th w E
thuốc	th u K
thuộc	th u
thuộc	th u K
thuở	th u 3
thuỷ	th w i
thà	th a
thành	th 4 N
thào	th a W
thác	th a K
thách	th a
thách	th 4 T
thái	th a Y
thám	th a M
thán	th a NG
tháng	th a NG
thánh	th 4 N
tháo	th a W
tháp	th a
tháp	th a P
thâm	th A M
thân	th A NG
thâu	th A W
thây	th A Y
thèm	th e M
thép	th e
thép	th e P
thê	th E
thêm	th E M
thêu	th E W
thì	th i
thình	th U N
thí	th i
thía	th i 3
thích	th U
thích	th U T
thính	th U N
thò	th o
thòi	th o Y
thòng	th o NGM
thóc	th o KP
thói	th o Y
thóp	th o P
thô	th O
thôi	th O Y
thôn	th O NM
thông	th o NGM
thù	th u
thùng	th u NGM
thùy	th u Y
thú	th u
thúc	th u KP
thúng	th u NGM
thúy	th u Y
thăm	th 4 M
thăn	th 4 NG
thăng	th 4 NG
thơ	th 2
thơm	th 2 M
thư	th U
thưa	th U 3
thương	th U NG
thước	th U
thước	th U K
thường	th U NG
thưởng	th U NG
thược	th U
thược	th U K
thượng	th U NG
thạc	th a
thạc	th a K
thạch	th a
thạch	th 4 T
thạo	th a W
thả	th a
thải	th a Y
thảm	th a M
thản	th a NG
thảnh	th 4 N
thảo	th a W
thảy	th 4 Y
thấm	th A M
thấp	th A P
thất	th A K
thấu	th A W
thấy	th A Y
thầm	th A M
thần	th A NG
thầu	th A W
thầy	th A Y
thẩm	th A M
thẩn	th A NG
thậm	th A M
thận	th A NG
thập	th A P
thật	th A K
thắc	th 4 K
thắn	th 4 NG
thắng	th 4 NG
thắp	th 4 P
thắt	th a
thắt	th 4 K
thằn	th 4 NG
thằng	th 4 NG
thẳm	th 4 M
thẳng	th 4 NG
thẻ	th e
thế	th E
thề	th E
thềm	th E M
thể	th E
thỉnh	th U N
thị	th i
thịnh	th U N
thịt	th U T
thọ	th o
thọt	th o
thọt	th o K
thỏ	th o
thỏa	th w a
thỏi	th o Y
thối	th O Y
thốn	th O NM
thống	th o NGM
thổ	th O
thổi	th O Y
thớt	th 2
thớt	th 2 K
thờ	th 2
thời	th 2 Y
thở	th 2
thợ	th 2
thụ	th u
thục	th u KP
thụt	th u KP
thụy	th u Y
thủ	th u
thủi	th u Y
thủng	th u NGM
thủy	th u Y
thứ	th U
thức	th U
thức	th U K
thừ	th U
thừa	th U 3
thừng	th U NG
thử	th U
thự	th U
thực	th U
thực	th U K
ti	t i
tia	t i 3
tim	t i M
tin	t U N
tinh	t U N
tiêm	t i M
tiên	t i NG
tiêu	t i W
tiếc	t i
tiếc	t i K
tiến	t i NG
tiếng	t i NG
tiếp	t i
tiếp	t i P
tiết	t i
tiết	t i K
tiếu	t i W
tiềm	t i M
tiền	t i NG
tiểu	t i W
tiễn	t i NG
tiệc	t i
tiệc	t i K
tiệm	t i M
tiện	t i NG
tiệp	t i P
to	t o
toa	t w a
toan	t w a NG
toe	t w e
toà	t w a
toàn	t w a NG
toái	t w a Y
toán	t w a NG
toát	t w a K
toét	t w e K
toả	t w a
tra	tr a
trai	tr a Y
trang	tr a NG
tranh	tr 4 N
trao	tr a W
trau	tr 4 W
tre	tr e
treo	tr e W
tri	tr i
trinh	tr U N
triết	tr i
triết	tr i K
triền	tr i NG
triều	tr i W
triển	tr i NG
triệt	tr i
triệt	tr i K
triệu	tr i W
tro	tr o
trong	tr o NGM
tru	tr u
trung	tr u NGM
truy	tr w i
truyền	tr w i NG
truyện	tr w i NG
truờng	tr u NG
trà	tr a
tràm	tr a M
tràn	tr a NG
tràng	tr a NG
trào	tr a W
trá	tr a
trác	tr a K
trách	tr a
trách	tr 4 T
trái	tr a Y
trán	tr a NG
tráng	tr a NG
tránh	tr 4 N
tráo	tr a W
trâm	tr A M
trân	tr A NG
trâu	tr A W
trãi	tr a Y
trèo	tr e W
trê	tr E
trên	tr 2 N
trêu	tr E W
trì	tr i
trình	tr U N
trí	tr i
trích	tr U T
trò	tr o
tròn	tr o NG
tròng	tr o NGM
tróc	tr o KP
trót	tr o K
trôi	tr O Y
trông	tr o NGM
trù	tr u
trùm	tr U M
trùng	tr u NGM
trú	tr u
trúc	tr u KP
trúng	tr u NGM
trút	tr u KP
trăm	tr 4 M
trăn	tr 4 NG
trăng	tr 4 NG
trĩ	tr i
trĩu	tr i W
trũng	tr u NGM
trơ	tr 2
trơn	tr 2 NG
trư	tr U
trưa	tr U 3
trưng	tr U NG
trương	tr U NG
trước	tr U
trước	tr U K
trường	tr U NG
trưởng	tr U NG
trượt	tr U
trượt	tr U K
trại	tr a Y
trạm	tr a M
trạng	tr a NG
trả	tr a
trải	tr a Y
trấn	tr A NG
trấu	tr A W
trầm	tr A M
trần	tr A NG
trầy	tr A Y
trẫm	tr A M
trận	tr A NG
trật	tr A K
trắc	tr a
trắc	tr 4 K
trắng	tr 4 NG
trặc	tr a
trặc	tr 4 K
trẻ	tr e
trề	tr E
trễ	tr E
trệ	tr E
trị	tr i
trịnh	tr U N
trọ	tr o
trọc	tr o KP
trọi	tr o Y
trọn	tr o NG
trọng	tr o NGM
trọt	tr o K
trỏ	tr o
trốn	tr O NM
trống	tr o NGM
trồ	tr O
trồi	tr O Y
trồng	tr o NGM
trổ	tr O
trội	tr O Y
trộm	tr O M
trộn	tr O NM
trời	tr 2 Y
trở	tr 2
trợ	tr 2
trợn	tr 2 NG
trợt	tr 2
trợt	tr 2 K
trụ	tr u
trục	tr u KP
trụi	tr u Y
trứng	tr U NG
trừ	tr U
trừng	tr U NG
trữ	tr U
trực	tr U
trực	tr U K
tu	t u
tui	t u Y
tum	t U M
tung	t u NGM
tuy	t w i
tuyên	t w i NG
tuyến	t w i NG
tuyết	t w i
tuyết	t w i K
tuyền	t w i NG
tuyển	t w i NG
tuyệt	t w i
tuyệt	t w i K
tuân	t w A NG
tuôn	t u NG
tuýt	t w U T
tuấn	t w A NG
tuần	t w A NG
tuế	t w E
tuệ	t w E
tuốt	t u K
tuồng	t u NG
tuổi	t u Y
tuột	t u K
tuỳ	t w i
ty	t i
tài	t a Y
tàn	t a NG
tàng	t a NG
tàu	t 4 W
tày	t 4 Y
tá	t a
tác	t a
tác	t a K
tách	t 4 T
tái	t a Y
tám	t a M
tán	t a NG
táng	t a NG
tánh	t 4 N
táo	t a W
táp	t a P
tát	t a
